Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation	Functional category
OM-RGC.v2.010750451	OM-RGC.v2.032964338	0.86531216	GC		
OM-RGC.v2.002526094	OM-RGC.v2.001660221	0.865309949	GC		
OM-RGC.v2.012489809	OM-RGC.v2.002775312	0.865308973	GC		
OM-RGC.v2.000340202	OM-RGC.v2.040961750	0.865306805	GC		
OM-RGC.v2.033837699	OM-RGC.v2.002933210	0.865304925	GC		
OM-RGC.v2.041037701	OM-RGC.v2.037019612	0.865303497	GC		
OM-RGC.v2.004519301	OM-RGC.v2.008575881	0.865298944	GC		
OM-RGC.v2.000465864	OM-RGC.v2.000175673	0.865292298	GC		
OM-RGC.v2.004069052	OM-RGC.v2.032506217	0.865289678	GC		
OM-RGC.v2.038407888	OM-RGC.v2.036624162	0.865288447	GC		
OM-RGC.v2.001280214	OM-RGC.v2.004870134	0.865288282	GC		
OM-RGC.v2.035531982	OM-RGC.v2.030741328	0.865275666	GC		
OM-RGC.v2.033238628	OM-RGC.v2.002644693	0.865274008	GC		
OM-RGC.v2.007587747	OM-RGC.v2.040778372	0.86527343	GC		
OM-RGC.v2.009522949	OM-RGC.v2.001009352	0.865268954	GC		
OM-RGC.v2.000147423	OM-RGC.v2.002155352	0.865267014	GC		
OM-RGC.v2.000445176	OM-RGC.v2.036939549	0.865266016	GC		
OM-RGC.v2.039470854	OM-RGC.v2.039070770	0.865265705	GC		
OM-RGC.v2.039070770	OM-RGC.v2.039470854	0.865265705	GC		
OM-RGC.v2.036859445	OM-RGC.v2.027068669	0.865264197	GC		
OM-RGC.v2.019768290	OM-RGC.v2.029340565	0.865251044	GC		
OM-RGC.v2.029340565	OM-RGC.v2.019768290	0.865251044	GC		
OM-RGC.v2.002952195	OM-RGC.v2.001973260	0.86525027	GC		
OM-RGC.v2.033554320	OM-RGC.v2.028246157	0.865246016	GC		
OM-RGC.v2.000643372	OM-RGC.v2.000037969	0.865244954	GC		
OM-RGC.v2.030206948	OM-RGC.v2.017338028	0.86524436	GC		
OM-RGC.v2.000253366	OM-RGC.v2.001022976	0.865242761	GC		
OM-RGC.v2.008627156	OM-RGC.v2.040209873	0.865237259	GC		
OM-RGC.v2.000809000	OM-RGC.v2.026632038	0.865227456	GC		
OM-RGC.v2.026632038	OM-RGC.v2.000809000	0.865227456	GC		
OM-RGC.v2.038980459	OM-RGC.v2.038064328	0.865225907	GC		
OM-RGC.v2.008912628	OM-RGC.v2.040095901	0.865215847	GC		
OM-RGC.v2.040095901	OM-RGC.v2.008912628	0.865215847	GC		
OM-RGC.v2.000081115	OM-RGC.v2.003903971	0.865213322	GC		
OM-RGC.v2.010506821	OM-RGC.v2.016441134	0.865212548	GC		
OM-RGC.v2.000750491	OM-RGC.v2.031775766	0.86521219	GC		
OM-RGC.v2.004605651	OM-RGC.v2.003929137	0.865204066	GC		
OM-RGC.v2.003929137	OM-RGC.v2.004605651	0.865204066	GC		
OM-RGC.v2.001349568	OM-RGC.v2.000390109	0.865203388	GC		
OM-RGC.v2.000302832	OM-RGC.v2.000136445	0.865198408	GC		
OM-RGC.v2.001379774	OM-RGC.v2.001610074	0.865193126	GC		
OM-RGC.v2.011515737	OM-RGC.v2.018822641	0.865192039	GC		
OM-RGC.v2.003832220	OM-RGC.v2.005416446	0.865186919	GC		
OM-RGC.v2.013593587	OM-RGC.v2.007299049	0.865185696	GC		
OM-RGC.v2.001947240	OM-RGC.v2.001200244	0.865185256	GC		
OM-RGC.v2.001200244	OM-RGC.v2.001947240	0.865185256	GC		
OM-RGC.v2.039756133	OM-RGC.v2.023188936	0.865183135	GC		
OM-RGC.v2.033046807	OM-RGC.v2.019730015	0.86517883	GC		
OM-RGC.v2.000744568	OM-RGC.v2.003065008	0.865178743	GC		
OM-RGC.v2.014081214	OM-RGC.v2.005980540	0.865171013	GC		
OM-RGC.v2.001669180	OM-RGC.v2.041720612	0.865162241	GC		
OM-RGC.v2.000940901	OM-RGC.v2.000684588	0.865162126	GC		
OM-RGC.v2.000684588	OM-RGC.v2.000940901	0.865162126	GC		
OM-RGC.v2.027306034	OM-RGC.v2.036490768	0.865158149	GC		
OM-RGC.v2.029943970	OM-RGC.v2.000651744	0.865148843	GC		
OM-RGC.v2.027133055	OM-RGC.v2.032558426	0.865143129	GC		
OM-RGC.v2.013795261	OM-RGC.v2.004627155	0.865127065	GC		
OM-RGC.v2.004627155	OM-RGC.v2.013795261	0.865127065	GC		
OM-RGC.v2.002940726	OM-RGC.v2.001323390	0.865122372	GC		
OM-RGC.v2.031591873	OM-RGC.v2.001038339	0.86511283	GC		
OM-RGC.v2.003705146	OM-RGC.v2.038907438	0.865112096	GC		
OM-RGC.v2.042036169	OM-RGC.v2.002305700	0.865108566	GC		
OM-RGC.v2.002555447	OM-RGC.v2.001344962	0.865101264	GC		
OM-RGC.v2.043494550	OM-RGC.v2.041332490	0.865093024	GC		
OM-RGC.v2.015389392	OM-RGC.v2.001192259	0.865092562	GC		
OM-RGC.v2.029533652	OM-RGC.v2.036235339	0.865090297	GC		
OM-RGC.v2.027691442	OM-RGC.v2.009663525	0.865083886	GC		
OM-RGC.v2.033871893	OM-RGC.v2.012699176	0.865083182	GC		
OM-RGC.v2.033833377	OM-RGC.v2.010157731	0.865082954	GC		
OM-RGC.v2.005039007	OM-RGC.v2.037367602	0.865076873	GC		
OM-RGC.v2.002354412	OM-RGC.v2.041535013	0.865068086	GC		
OM-RGC.v2.041535013	OM-RGC.v2.002354412	0.865068086	GC		
OM-RGC.v2.001316623	OM-RGC.v2.001524707	0.865063245	GC		
OM-RGC.v2.009523208	OM-RGC.v2.005110594	0.865063078	GC		
OM-RGC.v2.041641415	OM-RGC.v2.040195021	0.865062601	GC		
OM-RGC.v2.000053436	OM-RGC.v2.000796635	0.865059995	GC		
OM-RGC.v2.001043004	OM-RGC.v2.042034464	0.865053763	GC		
OM-RGC.v2.042034464	OM-RGC.v2.001043004	0.865053763	GC		
OM-RGC.v2.000429676	OM-RGC.v2.016776389	0.865052586	GC		
OM-RGC.v2.029366428	OM-RGC.v2.001964731	0.865046236	GC		
OM-RGC.v2.034385410	OM-RGC.v2.041546148	0.865043169	GC		
OM-RGC.v2.041546148	OM-RGC.v2.034385410	0.865043169	GC		
OM-RGC.v2.034980757	OM-RGC.v2.002898337	0.865042706	GC		
OM-RGC.v2.043801081	OM-RGC.v2.041738776	0.865040358	GC		
OM-RGC.v2.037069805	OM-RGC.v2.027977482	0.86503817	GC		
OM-RGC.v2.042034657	OM-RGC.v2.000175673	0.865034435	GC		
OM-RGC.v2.000317148	OM-RGC.v2.020622312	0.8650333	GC		
OM-RGC.v2.002925926	OM-RGC.v2.030603236	0.865032735	GC		
OM-RGC.v2.003248346	OM-RGC.v2.008570081	0.865024459	GC		
OM-RGC.v2.008570081	OM-RGC.v2.003248346	0.865024459	GC		
OM-RGC.v2.029657422	OM-RGC.v2.033108698	0.865017877	GC		
OM-RGC.v2.013821390	OM-RGC.v2.007059561	0.865010502	GC		
OM-RGC.v2.007059561	OM-RGC.v2.013821390	0.865010502	GC		
OM-RGC.v2.016066234	OM-RGC.v2.039030855	0.865002806	GC		
OM-RGC.v2.045797511	OM-RGC.v2.010363024	0.865002734	GC		
OM-RGC.v2.000551506	OM-RGC.v2.017376860	0.865002695	GC		
OM-RGC.v2.040549050	OM-RGC.v2.002617767	0.865002085	GC		
OM-RGC.v2.002617767	OM-RGC.v2.040549050	0.865002085	GC		
OM-RGC.v2.009074130	OM-RGC.v2.004005570	0.86499972	GC		
OM-RGC.v2.029866520	OM-RGC.v2.018986571	0.864999644	GC		
OM-RGC.v2.000414365	OM-RGC.v2.002479258	0.864999155	GC		
OM-RGC.v2.031727228	OM-RGC.v2.028598809	0.864999105	GC		
OM-RGC.v2.008120726	OM-RGC.v2.003721319	0.86499729	GC		
OM-RGC.v2.030758287	OM-RGC.v2.012836671	0.864996618	GC		
OM-RGC.v2.012836671	OM-RGC.v2.030758287	0.864996618	GC		
OM-RGC.v2.008711462	OM-RGC.v2.010917605	0.864993244	GC		
OM-RGC.v2.008520142	OM-RGC.v2.003362458	0.864992994	GC		
OM-RGC.v2.003362458	OM-RGC.v2.008520142	0.864992994	GC		
OM-RGC.v2.002425117	OM-RGC.v2.009859969	0.864987276	GC		
OM-RGC.v2.000041907	OM-RGC.v2.000025437	0.864984953	GC		
OM-RGC.v2.027971406	OM-RGC.v2.036434195	0.864981067	GC		
OM-RGC.v2.025035933	OM-RGC.v2.037267134	0.864975474	GC		
OM-RGC.v2.032999859	OM-RGC.v2.002202353	0.864973911	GC		
OM-RGC.v2.028692990	OM-RGC.v2.006512469	0.864972483	GC		
OM-RGC.v2.028017105	OM-RGC.v2.031504621	0.864970421	GC		
OM-RGC.v2.021024236	OM-RGC.v2.031023267	0.86497038	GC		
OM-RGC.v2.031023267	OM-RGC.v2.021024236	0.86497038	GC		
OM-RGC.v2.030720657	OM-RGC.v2.000701414	0.864969671	GC		
OM-RGC.v2.006801628	OM-RGC.v2.040621660	0.864968221	GC		
OM-RGC.v2.006930783	OM-RGC.v2.018484576	0.864967116	GC		
OM-RGC.v2.016188967	OM-RGC.v2.036275044	0.864964036	GC		
OM-RGC.v2.001234973	OM-RGC.v2.002479258	0.864962183	GC		
OM-RGC.v2.004400129	OM-RGC.v2.000279040	0.864961937	GC		
OM-RGC.v2.034591283	OM-RGC.v2.002036351	0.86495971	GC		
OM-RGC.v2.004099190	OM-RGC.v2.002456944	0.864956743	GC		
OM-RGC.v2.024533008	OM-RGC.v2.012576762	0.86495663	GC		
OM-RGC.v2.004617890	OM-RGC.v2.041087321	0.864953162	GC		
OM-RGC.v2.033888632	OM-RGC.v2.014802447	0.864951021	GC		
OM-RGC.v2.014802447	OM-RGC.v2.033888632	0.864951021	GC		
OM-RGC.v2.035413681	OM-RGC.v2.001703593	0.864948844	GC		
OM-RGC.v2.032836001	OM-RGC.v2.014123278	0.864942368	GC		
OM-RGC.v2.001031299	OM-RGC.v2.001161407	0.86493311	GC		
OM-RGC.v2.019155650	OM-RGC.v2.008427645	0.864931205	GC		
OM-RGC.v2.006566934	OM-RGC.v2.040855247	0.864925195	GC		
OM-RGC.v2.040855247	OM-RGC.v2.006566934	0.864925195	GC		
OM-RGC.v2.030093599	OM-RGC.v2.042439056	0.864924384	GC		
OM-RGC.v2.042439056	OM-RGC.v2.030093599	0.864924384	GC		
OM-RGC.v2.021735157	OM-RGC.v2.000553269	0.864924011	GC		
OM-RGC.v2.037534599	OM-RGC.v2.001861057	0.864922871	GC		
OM-RGC.v2.030980453	OM-RGC.v2.035265308	0.864920222	GC		
OM-RGC.v2.035265308	OM-RGC.v2.030980453	0.864920222	GC		
OM-RGC.v2.039185557	OM-RGC.v2.007345769	0.86491248	GC		
OM-RGC.v2.034529261	OM-RGC.v2.013007552	0.864910399	GC		
OM-RGC.v2.039582749	OM-RGC.v2.002027043	0.864908043	GC		
OM-RGC.v2.029769033	OM-RGC.v2.005739864	0.864902824	GC		
OM-RGC.v2.006881902	OM-RGC.v2.027014479	0.864899187	GC		
OM-RGC.v2.004375950	OM-RGC.v2.000885673	0.864894853	GC		
OM-RGC.v2.036112500	OM-RGC.v2.042516954	0.864891712	GC		
OM-RGC.v2.004695809	OM-RGC.v2.008090622	0.864889318	GC		
OM-RGC.v2.008090622	OM-RGC.v2.004695809	0.864889318	GC		
OM-RGC.v2.001264646	OM-RGC.v2.010747044	0.864883996	GC		
OM-RGC.v2.040334787	OM-RGC.v2.015152914	0.864878232	GC		
OM-RGC.v2.001027246	OM-RGC.v2.000244239	0.864873324	GC		
OM-RGC.v2.009851540	OM-RGC.v2.038526387	0.864871253	GC		
OM-RGC.v2.000177471	OM-RGC.v2.000500597	0.864870004	GC		
OM-RGC.v2.006641011	OM-RGC.v2.000667781	0.864869671	GC		
OM-RGC.v2.016896991	OM-RGC.v2.022880144	0.864868796	GC		
OM-RGC.v2.023568001	OM-RGC.v2.025816869	0.864866773	GC		
OM-RGC.v2.011400109	OM-RGC.v2.039432726	0.864862573	GC		
OM-RGC.v2.039432726	OM-RGC.v2.011400109	0.864862573	GC		
OM-RGC.v2.004002197	OM-RGC.v2.039386174	0.864861576	GC		
OM-RGC.v2.039386174	OM-RGC.v2.004002197	0.864861576	GC		
OM-RGC.v2.000395633	OM-RGC.v2.001744335	0.864859129	GC		
OM-RGC.v2.001744335	OM-RGC.v2.000395633	0.864859129	GC		
OM-RGC.v2.007711966	OM-RGC.v2.008700759	0.864857492	GC		
OM-RGC.v2.012835043	OM-RGC.v2.000406411	0.864855543	GC		
OM-RGC.v2.015683536	OM-RGC.v2.003885346	0.864853507	GC		
OM-RGC.v2.015317727	OM-RGC.v2.001535801	0.864849881	GC		
OM-RGC.v2.000948876	OM-RGC.v2.001703593	0.864849119	GC		
OM-RGC.v2.029755838	OM-RGC.v2.001984178	0.864844944	GC		
OM-RGC.v2.023509495	OM-RGC.v2.014911828	0.864841884	GC		
OM-RGC.v2.014911828	OM-RGC.v2.023509495	0.864841884	GC		
OM-RGC.v2.040003589	OM-RGC.v2.037245854	0.864841033	GC		
OM-RGC.v2.037245854	OM-RGC.v2.040003589	0.864841033	GC		
OM-RGC.v2.036118083	OM-RGC.v2.007111897	0.864840935	GC		
OM-RGC.v2.000412846	OM-RGC.v2.017071465	0.864834681	GC		
OM-RGC.v2.031592034	OM-RGC.v2.000445565	0.864831906	GC		
OM-RGC.v2.035328014	OM-RGC.v2.013678130	0.864831173	GC		
OM-RGC.v2.042910471	OM-RGC.v2.002306017	0.864828179	GC		
OM-RGC.v2.029456235	OM-RGC.v2.019890729	0.864826995	GC		
OM-RGC.v2.019890729	OM-RGC.v2.029456235	0.864826995	GC		
OM-RGC.v2.035651213	OM-RGC.v2.024764881	0.86482512	GC		
OM-RGC.v2.036175334	OM-RGC.v2.004724359	0.864823605	GC		
OM-RGC.v2.029262969	OM-RGC.v2.032070101	0.864814741	GC		
OM-RGC.v2.002990113	OM-RGC.v2.000521867	0.864812259	GC		
OM-RGC.v2.000046933	OM-RGC.v2.034193436	0.864810334	GC		
OM-RGC.v2.012564907	OM-RGC.v2.003888046	0.864810181	GC		
OM-RGC.v2.037811685	OM-RGC.v2.000879110	0.864806154	GC		
OM-RGC.v2.025134666	OM-RGC.v2.000151593	0.864804234	GC		
OM-RGC.v2.000151593	OM-RGC.v2.025134666	0.864804234	GC		
OM-RGC.v2.003649994	OM-RGC.v2.001288187	0.864803877	GC		
OM-RGC.v2.027027080	OM-RGC.v2.008045471	0.864803759	GC		
OM-RGC.v2.036751339	OM-RGC.v2.035952057	0.864802466	GC		
OM-RGC.v2.041213793	OM-RGC.v2.040509309	0.864798372	GC		
OM-RGC.v2.035100322	OM-RGC.v2.012562229	0.864793391	GC		
OM-RGC.v2.012562229	OM-RGC.v2.035100322	0.864793391	GC		
OM-RGC.v2.042299527	OM-RGC.v2.009693042	0.864792837	GC		
OM-RGC.v2.022474970	OM-RGC.v2.001335743	0.864779507	GC		
OM-RGC.v2.013702189	OM-RGC.v2.000095504	0.864778199	GC		
OM-RGC.v2.015131769	OM-RGC.v2.009970798	0.864774655	GC		
OM-RGC.v2.000201483	OM-RGC.v2.039268073	0.86476466	GC		
OM-RGC.v2.000065462	OM-RGC.v2.038185016	0.864757525	GC		
OM-RGC.v2.001205902	OM-RGC.v2.012855066	0.86475703	GC		
OM-RGC.v2.027893553	OM-RGC.v2.013328307	0.864756447	GC		
OM-RGC.v2.033255352	OM-RGC.v2.042696446	0.864755631	GC		
OM-RGC.v2.042696446	OM-RGC.v2.033255352	0.864755631	GC		
OM-RGC.v2.044134741	OM-RGC.v2.041851476	0.864753738	GC		
OM-RGC.v2.041851476	OM-RGC.v2.044134741	0.864753738	GC		
OM-RGC.v2.034148773	OM-RGC.v2.005073156	0.864752726	GC		
OM-RGC.v2.036999808	OM-RGC.v2.036299877	0.864745601	GC		
OM-RGC.v2.036299877	OM-RGC.v2.036999808	0.864745601	GC		
OM-RGC.v2.000059165	OM-RGC.v2.019696212	0.864743935	GC		
OM-RGC.v2.019696212	OM-RGC.v2.000059165	0.864743935	GC		
OM-RGC.v2.032651863	OM-RGC.v2.004713232	0.86474297	GC		
OM-RGC.v2.004713232	OM-RGC.v2.032651863	0.86474297	GC		
OM-RGC.v2.027519188	OM-RGC.v2.029903626	0.864742512	GC		
OM-RGC.v2.042327446	OM-RGC.v2.021379594	0.864739915	GC		
OM-RGC.v2.013455924	OM-RGC.v2.005723084	0.864739674	GC		
OM-RGC.v2.035815390	OM-RGC.v2.000377988	0.864739394	GC		
OM-RGC.v2.020019946	OM-RGC.v2.029667718	0.864737857	GC		
OM-RGC.v2.029667718	OM-RGC.v2.020019946	0.864737857	GC		
OM-RGC.v2.001612865	OM-RGC.v2.022906821	0.864735123	GC		
OM-RGC.v2.005705962	OM-RGC.v2.041507148	0.864734354	GC		
OM-RGC.v2.000753897	OM-RGC.v2.005109620	0.864728584	GC		
OM-RGC.v2.004440734	OM-RGC.v2.034925138	0.864724973	GC		
OM-RGC.v2.039080948	OM-RGC.v2.000011301	0.864724808	GC		
OM-RGC.v2.003424351	OM-RGC.v2.008562218	0.86472473	GC		
OM-RGC.v2.036615272	OM-RGC.v2.009190731	0.864722305	GC		
OM-RGC.v2.010277043	OM-RGC.v2.000403855	0.86471293	GC		
OM-RGC.v2.013854096	OM-RGC.v2.000810262	0.864712162	GC		
OM-RGC.v2.037308339	OM-RGC.v2.000265183	0.864704662	GC		
OM-RGC.v2.029183867	OM-RGC.v2.008078419	0.864696553	GC		
OM-RGC.v2.000928581	OM-RGC.v2.000804272	0.864694904	GC		
OM-RGC.v2.001767810	OM-RGC.v2.000730580	0.864693597	GC		
OM-RGC.v2.015991688	OM-RGC.v2.007054972	0.864692237	GC		
OM-RGC.v2.002903906	OM-RGC.v2.000234811	0.864691356	GC		
OM-RGC.v2.001551385	OM-RGC.v2.022974780	0.864690955	GC		
OM-RGC.v2.039572766	OM-RGC.v2.038221060	0.864683177	GC		
OM-RGC.v2.017399731	OM-RGC.v2.035850876	0.864672023	GC		
OM-RGC.v2.035850876	OM-RGC.v2.017399731	0.864672023	GC		
OM-RGC.v2.002635990	OM-RGC.v2.001842331	0.864668286	GC		
OM-RGC.v2.027880360	OM-RGC.v2.029667718	0.864661753	GC		
OM-RGC.v2.034876974	OM-RGC.v2.007935382	0.864657299	GC		
OM-RGC.v2.013303098	OM-RGC.v2.030062492	0.864655095	GC		
OM-RGC.v2.001788589	OM-RGC.v2.001387613	0.864654361	GC		
OM-RGC.v2.017794442	OM-RGC.v2.026420281	0.864653416	GC		
OM-RGC.v2.017548184	OM-RGC.v2.011018453	0.864648754	GC		
OM-RGC.v2.011018453	OM-RGC.v2.017548184	0.864648754	GC		
OM-RGC.v2.023804605	OM-RGC.v2.011085203	0.864640607	GC		
OM-RGC.v2.033596133	OM-RGC.v2.041263873	0.864638703	GC		
OM-RGC.v2.005347425	OM-RGC.v2.002100310	0.864636464	GC		
OM-RGC.v2.035143123	OM-RGC.v2.028343019	0.864636185	GC		
OM-RGC.v2.028343019	OM-RGC.v2.035143123	0.864636185	GC		
OM-RGC.v2.035418604	OM-RGC.v2.036274982	0.864635369	GC		
OM-RGC.v2.034739112	OM-RGC.v2.008703144	0.864630856	GC		
OM-RGC.v2.029988857	OM-RGC.v2.010089510	0.86462594	GC		
OM-RGC.v2.004037295	OM-RGC.v2.036601048	0.864624106	GC		
OM-RGC.v2.008874148	OM-RGC.v2.023079945	0.864622815	GC		
OM-RGC.v2.032335120	OM-RGC.v2.004662650	0.864620366	GC		
OM-RGC.v2.033933676	OM-RGC.v2.039985257	0.864619668	GC		
OM-RGC.v2.032962157	OM-RGC.v2.000488780	0.864616806	GC		
OM-RGC.v2.005036766	OM-RGC.v2.000306551	0.864614416	GC		
OM-RGC.v2.001544416	OM-RGC.v2.000094666	0.864612351	GC		
OM-RGC.v2.007499268	OM-RGC.v2.003729242	0.86460635	GC		
OM-RGC.v2.033040114	OM-RGC.v2.038792914	0.864605473	GC		
OM-RGC.v2.040085582	OM-RGC.v2.006392046	0.864600073	GC		
OM-RGC.v2.028792719	OM-RGC.v2.026892758	0.864599724	GC		
OM-RGC.v2.002389539	OM-RGC.v2.009443688	0.864597104	GC		
OM-RGC.v2.009443688	OM-RGC.v2.002389539	0.864597104	GC		
OM-RGC.v2.037238474	OM-RGC.v2.014627409	0.864593157	GC		
OM-RGC.v2.033843871	OM-RGC.v2.009956771	0.864592095	GC		
OM-RGC.v2.009956771	OM-RGC.v2.033843871	0.864592095	GC		
OM-RGC.v2.001029987	OM-RGC.v2.008423528	0.864591798	GC		
OM-RGC.v2.006983325	OM-RGC.v2.036261977	0.864578898	GC		
OM-RGC.v2.002270001	OM-RGC.v2.001903938	0.864568314	GC		
OM-RGC.v2.001903938	OM-RGC.v2.002270001	0.864568314	GC		
OM-RGC.v2.009027507	OM-RGC.v2.009961896	0.864567571	GC		
OM-RGC.v2.007787173	OM-RGC.v2.006591006	0.864567529	GC		
OM-RGC.v2.027865637	OM-RGC.v2.004677367	0.864567079	GC		
OM-RGC.v2.004677367	OM-RGC.v2.027865637	0.864567079	GC		
OM-RGC.v2.000649664	OM-RGC.v2.006202062	0.864567079	GC		
OM-RGC.v2.006202062	OM-RGC.v2.000649664	0.864567079	GC		
OM-RGC.v2.037999444	OM-RGC.v2.001764238	0.864567075	GC		
OM-RGC.v2.001764238	OM-RGC.v2.037999444	0.864567075	GC		
OM-RGC.v2.027397406	OM-RGC.v2.026727053	0.864558839	GC		
OM-RGC.v2.003245299	OM-RGC.v2.021619016	0.864557967	GC		
OM-RGC.v2.031927753	OM-RGC.v2.000990087	0.86455142	GC		
OM-RGC.v2.002716506	OM-RGC.v2.001923166	0.864549983	GC		
OM-RGC.v2.004598905	OM-RGC.v2.003661557	0.864541789	GC		
OM-RGC.v2.004990926	OM-RGC.v2.002225693	0.864534387	GC		
OM-RGC.v2.002225693	OM-RGC.v2.004990926	0.864534387	GC		
OM-RGC.v2.005482566	OM-RGC.v2.039353521	0.86453386	GC		
OM-RGC.v2.025025661	OM-RGC.v2.015520595	0.864533751	GC		
OM-RGC.v2.015520595	OM-RGC.v2.025025661	0.864533751	GC		
OM-RGC.v2.008792350	OM-RGC.v2.024362162	0.864530221	GC		
OM-RGC.v2.024362162	OM-RGC.v2.008792350	0.864530221	GC		
OM-RGC.v2.025785046	OM-RGC.v2.016479614	0.864523332	GC		
OM-RGC.v2.000071725	OM-RGC.v2.000493291	0.864522889	GC		
OM-RGC.v2.001823132	OM-RGC.v2.013872636	0.864519895	GC		
OM-RGC.v2.000126089	OM-RGC.v2.002571718	0.864514198	GC		
OM-RGC.v2.043219066	OM-RGC.v2.027260771	0.864511634	GC		
OM-RGC.v2.032713079	OM-RGC.v2.007333391	0.864475845	GC		
OM-RGC.v2.016210265	OM-RGC.v2.000048173	0.8644748	GC		
OM-RGC.v2.041858143	OM-RGC.v2.040508572	0.864472653	GC		
OM-RGC.v2.011553843	OM-RGC.v2.028377302	0.864471296	GC		
OM-RGC.v2.002567072	OM-RGC.v2.027129595	0.864470367	GC		
OM-RGC.v2.037349744	OM-RGC.v2.016512345	0.86446201	GC		
OM-RGC.v2.016512345	OM-RGC.v2.037349744	0.86446201	GC		
OM-RGC.v2.013486810	OM-RGC.v2.011002013	0.864460222	GC		
OM-RGC.v2.014803550	OM-RGC.v2.000768475	0.864459303	GC		
OM-RGC.v2.003976782	OM-RGC.v2.021856108	0.86445392	GC		
OM-RGC.v2.021856108	OM-RGC.v2.003976782	0.86445392	GC		
OM-RGC.v2.017512192	OM-RGC.v2.032637689	0.864453502	GC		
OM-RGC.v2.032637689	OM-RGC.v2.017512192	0.864453502	GC		
OM-RGC.v2.003825397	OM-RGC.v2.000891982	0.864448855	GC		
OM-RGC.v2.000891982	OM-RGC.v2.003825397	0.864448855	GC		
OM-RGC.v2.015472497	OM-RGC.v2.009552320	0.864445636	GC		
OM-RGC.v2.009552320	OM-RGC.v2.015472497	0.864445636	GC		
OM-RGC.v2.031326761	OM-RGC.v2.002932594	0.86444086	GC		
OM-RGC.v2.043495873	OM-RGC.v2.031517096	0.864438268	GC		
OM-RGC.v2.043567134	OM-RGC.v2.041861264	0.864428288	GC		
OM-RGC.v2.041861264	OM-RGC.v2.043567134	0.864428288	GC		
OM-RGC.v2.008352877	OM-RGC.v2.029519034	0.864426901	GC		
OM-RGC.v2.029519034	OM-RGC.v2.008352877	0.864426901	GC		
OM-RGC.v2.001353415	OM-RGC.v2.034659744	0.864425529	GC		
OM-RGC.v2.002221574	OM-RGC.v2.002696728	0.864423755	GC		
OM-RGC.v2.002696728	OM-RGC.v2.002221574	0.864423755	GC		
OM-RGC.v2.039551548	OM-RGC.v2.000416984	0.864423683	GC		
OM-RGC.v2.037054060	OM-RGC.v2.036900917	0.864416183	GC		
OM-RGC.v2.027011162	OM-RGC.v2.001690062	0.864404896	GC		
OM-RGC.v2.045506874	OM-RGC.v2.035402222	0.864399848	GC		
OM-RGC.v2.013541884	OM-RGC.v2.000839979	0.86439758	GC		
OM-RGC.v2.016938841	OM-RGC.v2.015223171	0.86439223	GC		
OM-RGC.v2.037681484	OM-RGC.v2.044824591	0.864388245	GC		
OM-RGC.v2.044824591	OM-RGC.v2.037681484	0.864388245	GC		
OM-RGC.v2.039330764	OM-RGC.v2.029564447	0.864387121	GC		
OM-RGC.v2.004874903	OM-RGC.v2.014677209	0.86438201	GC		
OM-RGC.v2.031364094	OM-RGC.v2.034794436	0.864378545	GC		
OM-RGC.v2.014352454	OM-RGC.v2.035995956	0.864377115	GC		
OM-RGC.v2.035995956	OM-RGC.v2.014352454	0.864377115	GC		
OM-RGC.v2.032452141	OM-RGC.v2.041351439	0.864372768	GC		
OM-RGC.v2.033196775	OM-RGC.v2.037925206	0.864371721	GC		
OM-RGC.v2.039232485	OM-RGC.v2.004303771	0.864370824	GC		
OM-RGC.v2.001672210	OM-RGC.v2.020776125	0.864367539	GC		
OM-RGC.v2.036948310	OM-RGC.v2.004388997	0.86436625	GC		
OM-RGC.v2.020537873	OM-RGC.v2.001483080	0.864365783	GC		
OM-RGC.v2.028253092	OM-RGC.v2.006475205	0.864364413	GC		
OM-RGC.v2.007386677	OM-RGC.v2.005042313	0.864348712	GC		
OM-RGC.v2.033537259	OM-RGC.v2.008229985	0.864340655	GC		
OM-RGC.v2.009916150	OM-RGC.v2.043052450	0.864337608	GC		
OM-RGC.v2.007056488	OM-RGC.v2.007892714	0.864336669	GC		
OM-RGC.v2.042282316	OM-RGC.v2.035906636	0.864334136	GC		
OM-RGC.v2.032527253	OM-RGC.v2.033333836	0.864333999	GC		
OM-RGC.v2.001586934	OM-RGC.v2.007596014	0.864319568	GC		
OM-RGC.v2.002131965	OM-RGC.v2.001605371	0.864318322	GC		
OM-RGC.v2.000032361	OM-RGC.v2.000165075	0.864303315	GC		
OM-RGC.v2.000165075	OM-RGC.v2.000032361	0.864303315	GC		
OM-RGC.v2.000044350	OM-RGC.v2.000192302	0.864299213	GC		
OM-RGC.v2.036559225	OM-RGC.v2.000304187	0.864297079	GC		
OM-RGC.v2.030472121	OM-RGC.v2.031055717	0.864296431	GC		
OM-RGC.v2.013032184	OM-RGC.v2.001690062	0.86428974	GC		
OM-RGC.v2.001431919	OM-RGC.v2.000996459	0.864288147	GC		
OM-RGC.v2.005771498	OM-RGC.v2.024615385	0.864285445	GC		
OM-RGC.v2.008450743	OM-RGC.v2.003174269	0.864284977	GC		
OM-RGC.v2.005289361	OM-RGC.v2.007357801	0.864284453	GC		
OM-RGC.v2.013377017	OM-RGC.v2.008059160	0.864283509	GC		
OM-RGC.v2.000842417	OM-RGC.v2.002349379	0.864275689	GC		
