old_name	read_filename	metaG_T	mapping_id	PANGAEA_ID
TARA_129_DCM_0.22-3_T	BEZ_AIMAOSW_1_C8P55ACXX.IND4_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIMAOSW_1_C8P55ACXX.IND4	TARA_B100000624
TARA_129_DCM_0.22-3_T	BEZ_AIMAOSW_2_C8P55ACXX.IND4_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIMAOSW_2_C8P55ACXX.IND4	TARA_B100000624
TARA_129_DCM_0.22-3_T	BEZ_AIMAOSW_3_C8FB9ACXX.IND4_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIMAOSW_3_C8FB9ACXX.IND4	TARA_B100000624
TARA_129_DCM_0.22-3_T	BEZ_AIMAOSW_3_C8P55ACXX.IND4_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIMAOSW_3_C8P55ACXX.IND4	TARA_B100000624
TARA_129_DCM_0.22-3_T	BEZ_AIMAOSW_4_C8P55ACXX.IND4_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIMAOSW_4_C8P55ACXX.IND4	TARA_B100000624
TARA_131_SRF_0.22-3_T	BEZ_AINAOSW_1_C8P3BACXX.IND5_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AINAOSW_1_C8P3BACXX.IND5	TARA_B100000637
TARA_131_SRF_0.22-3_T	BEZ_AINAOSW_2_C8P3BACXX.IND5_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AINAOSW_2_C8P3BACXX.IND5	TARA_B100000637
TARA_131_SRF_0.22-3_T	BEZ_AINAOSW_4_C8FB9ACXX.IND5_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AINAOSW_4_C8FB9ACXX.IND5	TARA_B100000637
TARA_131_SRF_0.22-3_T	BEZ_AINAOSW_4_C8P3BACXX.IND5_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AINAOSW_4_C8P3BACXX.IND5	TARA_B100000637
TARA_131_SRF_0.22-3_T	BEZ_AINAOSW_5_C8P3BACXX.IND5_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AINAOSW_5_C8P3BACXX.IND5	TARA_B100000637
TARA_131_SRF_0.22-3_T	BEZ_AINAOSW_6_C8P3BACXX.IND5_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AINAOSW_6_C8P3BACXX.IND5	TARA_B100000637
TARA_131_SRF_0.22-3_T	BEZ_AINAOSW_7_C8P3BACXX.IND5_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AINAOSW_7_C8P3BACXX.IND5	TARA_B100000637
TARA_131_DCM_0.22-3_T	BEZ_AIPAOSW_1_C8P3BACXX.IND6_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIPAOSW_1_C8P3BACXX.IND6	TARA_B100000639
TARA_131_DCM_0.22-3_T	BEZ_AIPAOSW_2_C8P3BACXX.IND6_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIPAOSW_2_C8P3BACXX.IND6	TARA_B100000639
TARA_131_DCM_0.22-3_T	BEZ_AIPAOSW_4_C8FB9ACXX.IND6_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIPAOSW_4_C8FB9ACXX.IND6	TARA_B100000639
TARA_131_DCM_0.22-3_T	BEZ_AIPAOSW_4_C8P3BACXX.IND6_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIPAOSW_4_C8P3BACXX.IND6	TARA_B100000639
TARA_131_DCM_0.22-3_T	BEZ_AIPAOSW_5_C8P3BACXX.IND6_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIPAOSW_5_C8P3BACXX.IND6	TARA_B100000639
