Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation
OM-RGC.v2.005378287	OM-RGC.v2.000742747	0.971081430668458	GC	NA
OM-RGC.v2.006065415	OM-RGC.v2.019911009	0.971034088448326	GC	NA
OM-RGC.v2.022730132	OM-RGC.v2.000826588	0.971001275774844	GC	NA
OM-RGC.v2.042240708	OM-RGC.v2.010320418	0.971000143814471	GC	NA
OM-RGC.v2.004582387	OM-RGC.v2.027298258	0.970998239710872	GC	NA
OM-RGC.v2.000544918	OM-RGC.v2.003317199	0.970872785875965	GC	NA
OM-RGC.v2.003317199	OM-RGC.v2.000544918	0.970872785875965	GC	NA
OM-RGC.v2.003633520	OM-RGC.v2.031657225	0.970819809837209	GC	NA
OM-RGC.v2.031657225	OM-RGC.v2.003633520	0.970819809837209	GC	NA
OM-RGC.v2.001923015	OM-RGC.v2.000114663	0.970753855721059	GC	NA
OM-RGC.v2.000114663	OM-RGC.v2.001923015	0.970753855721059	GC	NA
OM-RGC.v2.017543678	11QJH	0.970744028101468	OG	NA
OM-RGC.v2.005333492	OM-RGC.v2.002874976	0.970700786148272	GC	NA
OM-RGC.v2.002874976	OM-RGC.v2.005333492	0.970700786148272	GC	NA
OM-RGC.v2.030194091	OM-RGC.v2.001645540	0.970662333895141	GC	NA
OM-RGC.v2.000041547	OM-RGC.v2.008445949	0.970624249211143	GC	NA
OM-RGC.v2.040925567	OM-RGC.v2.042063653	0.970581037676152	GC	NA
OM-RGC.v2.042063653	OM-RGC.v2.040925567	0.970581037676152	GC	NA
OM-RGC.v2.013731017	OM-RGC.v2.007258461	0.970478941752193	GC	NA
OM-RGC.v2.030781398	0ZK33	0.970408008417969	OG	NA
OM-RGC.v2.018990874	OM-RGC.v2.001173406	0.970224134868771	GC	NA
OM-RGC.v2.001173406	OM-RGC.v2.018990874	0.970224134868771	GC	NA
OM-RGC.v2.000082802	OM-RGC.v2.004582034	0.970206031765944	GC	NA
OM-RGC.v2.004582034	OM-RGC.v2.000082802	0.970206031765944	GC	NA
OM-RGC.v2.036644781	OM-RGC.v2.035002680	0.970161511540391	GC	NA
OM-RGC.v2.035073120	OM-RGC.v2.000819370	0.969986555953446	GC	NA
OM-RGC.v2.002394001	OM-RGC.v2.012350499	0.969961315674441	GC	NA
OM-RGC.v2.007041467	OM-RGC.v2.015810226	0.969941346140029	GC	NA
OM-RGC.v2.013732744	11HG0	0.969909987765837	OG	NA
OM-RGC.v2.000484248	OM-RGC.v2.011201180	0.969887177266822	GC	NA
OM-RGC.v2.011201180	OM-RGC.v2.000484248	0.969887177266822	GC	NA
OM-RGC.v2.004142549	OM-RGC.v2.003633520	0.969828733683378	GC	NA
OM-RGC.v2.000687905	OM-RGC.v2.000003758	0.969756393785145	GC	NA
OM-RGC.v2.003207132	OM-RGC.v2.003532118	0.969754104311975	GC	NA
OM-RGC.v2.003532118	OM-RGC.v2.003207132	0.969754104311975	GC	NA
OM-RGC.v2.030900922	OM-RGC.v2.001312547	0.969667015213275	GC	NA
OM-RGC.v2.001312547	OM-RGC.v2.030900922	0.969667015213275	GC	NA
OM-RGC.v2.037747378	OM-RGC.v2.009012343	0.969566911528322	GC	NA
OM-RGC.v2.025862287	OM-RGC.v2.001789171	0.969543114018045	GC	NA
OM-RGC.v2.001789171	OM-RGC.v2.025862287	0.969543114018045	GC	NA
OM-RGC.v2.009184197	OM-RGC.v2.040267512	0.969528366936774	GC	NA
OM-RGC.v2.026138200	OM-RGC.v2.000305863	0.969515147699352	GC	NA
OM-RGC.v2.003551339	OM-RGC.v2.013171847	0.969508967213037	GC	NA
OM-RGC.v2.032334519	OM-RGC.v2.035002680	0.969476988405422	GC	NA
OM-RGC.v2.009834974	OM-RGC.v2.007100288	0.9693160405734	GC	NA
OM-RGC.v2.002073406	OM-RGC.v2.027298258	0.969288980596005	GC	NA
OM-RGC.v2.035249527	OM-RGC.v2.032244133	0.969281796403577	GC	NA
OM-RGC.v2.032244133	OM-RGC.v2.035249527	0.969281796403577	GC	NA
OM-RGC.v2.044537594	OM-RGC.v2.018847316	0.969110286926655	GC	NA
OM-RGC.v2.040966719	0YZQ6	0.969087823830466	OG	NA
OM-RGC.v2.016805741	OM-RGC.v2.002500492	0.968987978693944	GC	NA
OM-RGC.v2.027869915	OM-RGC.v2.011021245	0.96858631480994	GC	NA
OM-RGC.v2.024910473	OM-RGC.v2.029749007	0.968541283023964	GC	NA
OM-RGC.v2.029749007	OM-RGC.v2.024910473	0.968541283023964	GC	NA
OM-RGC.v2.036188690	OM-RGC.v2.003633520	0.968438766980007	GC	NA
OM-RGC.v2.022735598	OM-RGC.v2.023635466	0.968292531845645	GC	NA
OM-RGC.v2.023635466	OM-RGC.v2.022735598	0.968292531845645	GC	NA
OM-RGC.v2.035919997	OM-RGC.v2.023937943	0.968136316736996	GC	NA
OM-RGC.v2.023937943	OM-RGC.v2.035919997	0.968136316736996	GC	NA
OM-RGC.v2.003578830	OM-RGC.v2.021249587	0.968098396178364	GC	NA
OM-RGC.v2.039495337	OM-RGC.v2.027468288	0.96793567190408	GC	NA
OM-RGC.v2.000054777	OM-RGC.v2.000468387	0.967927065150219	GC	NA
OM-RGC.v2.000468387	OM-RGC.v2.000054777	0.967927065150219	GC	NA
OM-RGC.v2.031499291	OM-RGC.v2.018090879	0.967868459553529	GC	NA
OM-RGC.v2.038161895	OM-RGC.v2.003370022	0.967792324095066	GC	NA
OM-RGC.v2.003370022	OM-RGC.v2.038161895	0.967792324095066	GC	NA
OM-RGC.v2.034997252	OM-RGC.v2.003633520	0.967585435906162	GC	NA
OM-RGC.v2.035311867	OM-RGC.v2.038225826	0.967472820768472	GC	NA
OM-RGC.v2.038225826	OM-RGC.v2.035311867	0.967472820768472	GC	NA
OM-RGC.v2.033895275	OM-RGC.v2.003991853	0.967329903103007	GC	NA
OM-RGC.v2.036651945	OM-RGC.v2.040789318	0.967232626587339	GC	NA
OM-RGC.v2.040789318	OM-RGC.v2.036651945	0.967232626587339	GC	NA
OM-RGC.v2.039156408	OM-RGC.v2.040925567	0.96711171664325	GC	NA
OM-RGC.v2.033699603	OM-RGC.v2.026718506	0.967095924210117	GC	NA
OM-RGC.v2.026718506	OM-RGC.v2.033699603	0.967095924210117	GC	NA
OM-RGC.v2.027437360	OM-RGC.v2.030127582	0.966991565872337	GC	NA
OM-RGC.v2.040047722	OM-RGC.v2.000707410	0.966970424859246	GC	NA
OM-RGC.v2.019150566	OM-RGC.v2.025012509	0.966926822139705	GC	NA
